Departamento,Capital,Pob2007,Pob2017,CodDepartamento
Amazonas,Chachapoyas,375993,"379.384,00",1
Áncash,Huaraz,1063459,"1.083.519,00",2
Apurímac,Abancay,404190,"405.759,00",3
Arequipa,Arequipa,1152303,"1.382.730,00",4
Ayacucho,Ayacucho,612489,"616.176,00",5
Cajamarca,Cajamarca,1387809,"1.341.012,00",6
Callao,Callao,876877,"994.494,00",7
Cusco,Cuzco,1171403,"1.205.527,00",8
Huancavelica,Huancavelica,454797,"347.639,00",9
Huánuco,Huánuco,762223,"721.047,00",10
Ica,Ica,711932,"850.765,00",11
Junín,Huancayo,1225474,"1.246.038,00",12
La Libertad,Trujillo,1617050,"1.778.080,00",13
Lambayeque,Chiclayo,1112868,"1.197.260,00",14
Lima,Lima,8445211,"9.485.405,00",15
Loreto,Iquitos,891732,"883.510,00",16
Madre de Dios,Puerto Maldonado,109555,"141.070,00",17
Moquegua,Moquegua,161533,"174.863,00",18
Pasco,Cerro de Pasco,280449,"254.065,00",19
Piura,Piura,1676315,"1.856.809,00",20
Puno,Puno,1268441,"1.172.697,00",21
San Martín,Moyobamba,728808,"813.381,00",22
Tacna,Tacna,288781,"329.332,00",23
Tumbes,Tumbes,200306,"224.863,00",24
Ucayali,Pucallpa,432159,"496.459,00",25
